,,Biology & Medicine,Business of Science,Chemistry,Computational Sciences,Energy,Engineered Technologies,Global Change,IEEE Spectrum,Information Systems,Mathematics,Social Sciences,Space Sciences
,466,0,0,0,0,0,0,0,0,0,0,0,0
Agriculture,178,213,0,0,0,0,0,0,0,0,0,0,0
Biology & Medicine,12200,0,0,0,38,0,397,0,0,0,0,518,0
Business of Science,2260,746,0,100,318,19,1794,0,174,1713,0,3031,0
Chemistry,94,18,0,0,0,517,0,0,0,0,0,0,17
Computational Sciences,837,0,0,0,0,0,21,0,0,0,259,0,0
Energy,3132,0,0,0,0,0,1471,0,0,0,0,0,0
Engineered Technologies,1927,0,0,0,0,1015,0,0,0,0,0,0,443
Global Change,3958,104,0,419,0,405,12,0,0,0,0,0,0
Information Systems,2588,0,252,0,0,0,1185,0,0,0,0,0,0
Mathematics,621,0,0,0,0,242,0,0,0,0,0,0,0
Physics,1074,0,0,81,58,0,120,0,0,194,0,0,110
Social Sciences,957,0,0,0,0,0,0,0,0,0,0,0,0
Space Sciences,2123,0,0,0,0,0,0,0,0,0,0,0,0
Transportation,49,0,167,0,0,0,249,29,0,0,0,0,20
